topology,mode,n_cells,grid,unit_cell_mm,target_porosity,porosity,relative_density,E_rel,D_eff_rel,tortuosity,specific_surface_per_mm,solid_connectivity,nominal_pore_um,cg_converged,pore_connected
diamond,sheet,2,20,1.0,0.8,0.808,0.192,3e-06,0.550544,1.4676,15.12,0.0117,404.0,1,1
diamond,sheet,2,20,1.0,0.85,0.904,0.096,2e-06,0.772077,1.1709,9.6,0.0026,452.0,1,1
schwarzP,network,1,20,2.0,0.3,0.283,0.717,0.548071,0.093293,3.0335,1.71,1.0,566.0,1,1
schwarzP,network,1,20,2.0,0.35,0.35,0.65,0.462182,0.154763,2.2615,1.8,1.0,700.0,1,1
schwarzP,network,1,20,2.0,0.4,0.401,0.599,0.402166,0.196027,2.0456,1.89,1.0,802.0,1,1
schwarzP,network,1,20,2.0,0.45,0.467,0.533,0.334149,0.268284,1.7407,1.83,1.0,934.0,1,1
schwarzP,network,1,20,2.0,0.5,0.5,0.5,0.300638,0.297801,1.679,1.86,1.0,1000.0,1,1
schwarzP,network,1,20,2.0,0.55,0.533,0.467,0.272664,0.333464,1.5984,1.83,1.0,1066.0,1,1
schwarzP,network,1,20,2.0,0.6,0.599,0.401,0.205324,0.402516,1.4881,1.89,1.0,1198.0,1,1
schwarzP,network,1,20,2.0,0.65,0.65,0.35,0.163987,0.464654,1.3989,1.8,1.0,1300.0,1,1
schwarzP,network,1,20,2.0,0.7,0.717,0.283,0.101235,0.551729,1.2996,1.71,1.0,1434.0,1,1
schwarzP,network,1,20,2.0,0.75,0.738,0.262,0.081658,0.585977,1.2594,1.62,1.0,1476.0,1,1
schwarzP,network,1,20,2.0,0.8,0.801,0.199,2e-06,0.692377,1.1569,1.35,1.0,1602.0,1,1
schwarzP,network,1,20,2.0,0.85,0.846,0.154,2e-06,0.758141,1.1159,1.11,1.0,1692.0,1,1
schwarzP,network,2,20,1.0,0.3,0.28,0.72,0.560339,0.075979,3.6852,6.72,1.0,140.0,1,1
schwarzP,network,2,20,1.0,0.35,0.28,0.72,0.560339,0.075979,3.6852,6.72,1.0,140.0,1,1
schwarzP,network,2,20,1.0,0.4,0.376,0.624,0.43273,0.175215,2.1459,6.72,1.0,188.0,1,1
schwarzP,network,2,20,1.0,0.45,0.448,0.552,0.353922,0.232271,1.9288,7.2,1.0,224.0,1,1
schwarzP,network,2,20,1.0,0.5,0.552,0.448,0.251471,0.332211,1.6616,7.2,1.0,276.0,1,1
schwarzP,network,2,20,1.0,0.55,0.552,0.448,0.251471,0.332211,1.6616,7.2,1.0,276.0,1,1
schwarzP,network,2,20,1.0,0.6,0.624,0.376,0.194269,0.41736,1.4951,6.72,1.0,312.0,1,1
schwarzP,network,2,20,1.0,0.65,0.72,0.28,0.096262,0.540509,1.3321,6.72,1.0,360.0,1,1
schwarzP,network,2,20,1.0,0.7,0.72,0.28,0.096262,0.540509,1.3321,6.72,1.0,360.0,1,1
schwarzP,network,2,20,1.0,0.75,0.72,0.28,0.096262,0.540509,1.3321,6.72,1.0,360.0,1,1
schwarzP,network,2,20,1.0,0.8,0.72,0.28,0.096262,0.540509,1.3321,6.72,1.0,360.0,1,1
schwarzP,network,2,20,1.0,0.85,0.84,0.16,2e-06,0.713959,1.1765,4.8,0.125,420.0,1,1
schwarzP,sheet,1,20,2.0,0.3,0.308,0.692,0.478361,1e-06,,2.22,1.0,616.0,1,0
schwarzP,sheet,1,20,2.0,0.35,0.35,0.65,0.424283,1e-06,,2.46,1.0,700.0,1,0
schwarzP,sheet,1,20,2.0,0.4,0.41,0.59,0.344862,3e-06,,2.7,1.0,820.0,1,0
schwarzP,sheet,1,20,2.0,0.45,0.41,0.59,0.344862,3e-06,,2.7,1.0,820.0,1,0
schwarzP,sheet,1,20,2.0,0.5,0.524,0.476,0.201147,0.148445,3.5299,3.24,1.0,1048.0,1,1
schwarzP,sheet,1,20,2.0,0.55,0.554,0.446,0.173068,0.176015,3.1475,3.3,1.0,1108.0,1,1
schwarzP,sheet,1,20,2.0,0.6,0.62,0.38,0.11697,0.241262,2.5698,3.42,1.0,1240.0,1,1
schwarzP,sheet,1,20,2.0,0.65,0.65,0.35,0.100961,0.25096,2.5901,3.6,1.0,1300.0,1,1
schwarzP,sheet,1,20,2.0,0.7,0.7,0.3,0.075769,0.305414,2.292,3.6,1.0,1400.0,1,1
schwarzP,sheet,1,20,2.0,0.75,0.754,0.246,0.046521,0.365807,2.0612,3.6,1.0,1508.0,1,1
schwarzP,sheet,1,20,2.0,0.8,0.79,0.21,0.035088,0.392106,2.0148,3.66,1.0,1580.0,1,1
schwarzP,sheet,1,20,2.0,0.85,0.85,0.15,0.021932,0.442714,1.92,3.66,1.0,1700.0,1,1
schwarzP,sheet,2,20,1.0,0.3,0.32,0.68,0.461462,0.0,,9.6,1.0,160.0,1,0
schwarzP,sheet,2,20,1.0,0.35,0.368,0.632,0.413912,0.0,,9.6,1.0,184.0,1,0
schwarzP,sheet,2,20,1.0,0.4,0.368,0.632,0.413912,0.0,,9.6,1.0,184.0,1,0
schwarzP,sheet,2,20,1.0,0.45,0.368,0.632,0.413912,0.0,,9.6,1.0,184.0,1,0
schwarzP,sheet,2,20,1.0,0.5,0.368,0.632,0.413912,0.0,,9.6,1.0,184.0,1,0
schwarzP,sheet,2,20,1.0,0.55,0.368,0.632,0.413912,0.0,,9.6,1.0,184.0,1,0
schwarzP,sheet,2,20,1.0,0.6,0.752,0.248,0.05398,0.366662,2.0509,13.44,0.9677,376.0,1,1
schwarzP,sheet,2,20,1.0,0.65,0.752,0.248,0.05398,0.366662,2.0509,13.44,0.9677,376.0,1,1
schwarzP,sheet,2,20,1.0,0.7,0.752,0.248,0.05398,0.366662,2.0509,13.44,0.9677,376.0,1,1
schwarzP,sheet,2,20,1.0,0.75,0.752,0.248,0.05398,0.366662,2.0509,13.44,0.9677,376.0,1,1
schwarzP,sheet,2,20,1.0,0.8,0.752,0.248,0.05398,0.366662,2.0509,13.44,0.9677,376.0,1,1
schwarzP,sheet,2,20,1.0,0.85,0.848,0.152,0.026537,0.410452,2.066,15.36,0.0033,424.0,1,1
iwp,network,1,20,2.0,0.3,0.292,0.708,0.498667,0.115293,2.5327,2.28,1.0,584.0,1,1
iwp,network,1,20,2.0,0.35,0.346,0.654,0.433394,0.164427,2.1043,2.46,1.0,692.0,1,1
iwp,network,1,20,2.0,0.4,0.394,0.606,0.364335,0.201603,1.9543,2.82,1.0,788.0,1,1
iwp,network,1,20,2.0,0.45,0.454,0.546,0.322433,0.255785,1.7749,2.58,1.0,908.0,1,1
iwp,network,1,20,2.0,0.5,0.49,0.51,0.299785,0.28421,1.7241,2.28,1.0,980.0,1,1
iwp,network,1,20,2.0,0.55,0.55,0.45,0.228767,0.347329,1.5835,2.76,1.0,1100.0,1,1
iwp,network,1,20,2.0,0.6,0.598,0.402,0.204213,0.400695,1.4924,2.52,1.0,1196.0,1,1
iwp,network,1,20,2.0,0.65,0.658,0.342,0.164331,0.467489,1.4075,2.52,1.0,1316.0,1,1
iwp,network,1,20,2.0,0.7,0.7,0.3,0.130002,0.525524,1.332,2.46,1.0,1400.0,1,1
iwp,network,1,20,2.0,0.75,0.748,0.252,0.109168,0.583107,1.2828,2.22,1.0,1496.0,1,1
iwp,network,1,20,2.0,0.8,0.808,0.192,0.078243,0.668013,1.2096,2.1,1.0,1616.0,1,1
iwp,network,1,20,2.0,0.85,0.856,0.144,0.037899,0.765818,1.1178,1.86,1.0,1712.0,1,1
iwp,network,2,20,1.0,0.3,0.232,0.768,0.605147,0.064613,3.5906,8.64,1.0,116.0,1,1
iwp,network,2,20,1.0,0.35,0.328,0.672,0.428693,0.117459,2.7925,10.56,1.0,164.0,1,1
iwp,network,2,20,1.0,0.4,0.424,0.576,0.380033,0.153063,2.7701,7.68,1.0,212.0,1,1
iwp,network,2,20,1.0,0.45,0.424,0.576,0.380033,0.153063,2.7701,7.68,1.0,212.0,1,1
iwp,network,2,20,1.0,0.5,0.52,0.48,0.285371,0.274996,1.8909,9.6,1.0,260.0,1,1
iwp,network,2,20,1.0,0.55,0.52,0.48,0.285371,0.274996,1.8909,9.6,1.0,260.0,1,1
iwp,network,2,20,1.0,0.6,0.616,0.384,0.145318,0.411483,1.497,11.52,1.0,308.0,1,1
iwp,network,2,20,1.0,0.65,0.616,0.384,0.145318,0.411483,1.497,11.52,1.0,308.0,1,1
iwp,network,2,20,1.0,0.7,0.616,0.384,0.145318,0.411483,1.497,11.52,1.0,308.0,1,1
iwp,network,2,20,1.0,0.75,0.808,0.192,0.089305,0.6428,1.257,6.72,1.0,404.0,1,1
iwp,network,2,20,1.0,0.8,0.808,0.192,0.089305,0.6428,1.257,6.72,1.0,404.0,1,1
iwp,network,2,20,1.0,0.85,0.85,0.15,0.016117,0.721035,1.1789,6.9,0.535,425.0,1,1
iwp,sheet,1,20,2.0,0.3,0.304,0.696,0.523147,0.071202,4.2695,3.84,1.0,608.0,1,1
iwp,sheet,1,20,2.0,0.35,0.352,0.648,0.458492,0.094761,3.7146,4.02,1.0,704.0,1,1
iwp,sheet,1,20,2.0,0.4,0.4,0.6,0.385368,0.14751,2.7117,4.26,1.0,800.0,1,1
iwp,sheet,1,20,2.0,0.45,0.46,0.54,0.335607,0.167837,2.7408,4.5,1.0,920.0,1,1
iwp,sheet,1,20,2.0,0.5,0.496,0.504,0.303578,0.180497,2.748,4.5,1.0,992.0,1,1
iwp,sheet,1,20,2.0,0.55,0.544,0.456,0.260445,0.223441,2.4346,4.5,1.0,1088.0,1,1
iwp,sheet,1,20,2.0,0.6,0.604,0.396,0.207506,0.263145,2.2953,4.56,1.0,1208.0,1,1
iwp,sheet,1,20,2.0,0.65,0.646,0.354,0.173327,0.287909,2.2438,4.92,1.0,1292.0,1,1
iwp,sheet,1,20,2.0,0.7,0.706,0.294,0.127111,0.334343,2.1116,4.98,1.0,1412.0,1,1
iwp,sheet,1,20,2.0,0.75,0.748,0.252,0.091026,0.366751,2.0395,5.34,1.0,1496.0,1,1
iwp,sheet,1,20,2.0,0.8,0.808,0.192,0.05935,0.419819,1.9246,4.98,1.0,1616.0,1,1
iwp,sheet,1,20,2.0,0.85,0.844,0.156,0.044091,0.500671,1.6857,4.86,0.3462,1688.0,1,1
iwp,sheet,2,20,1.0,0.3,0.28,0.72,0.610949,0.0,,11.52,1.0,140.0,1,0
iwp,sheet,2,20,1.0,0.35,0.424,0.576,0.397029,0.15363,2.7599,15.36,1.0,212.0,1,1
iwp,sheet,2,20,1.0,0.4,0.424,0.576,0.397029,0.15363,2.7599,15.36,1.0,212.0,1,1
iwp,sheet,2,20,1.0,0.45,0.52,0.48,0.294656,0.173758,2.9927,18.24,1.0,260.0,1,1
iwp,sheet,2,20,1.0,0.5,0.52,0.48,0.294656,0.173758,2.9927,18.24,1.0,260.0,1,1
iwp,sheet,2,20,1.0,0.55,0.52,0.48,0.294656,0.173758,2.9927,18.24,1.0,260.0,1,1
iwp,sheet,2,20,1.0,0.6,0.52,0.48,0.294656,0.173758,2.9927,18.24,1.0,260.0,1,1
iwp,sheet,2,20,1.0,0.65,0.712,0.288,0.139044,0.364048,1.9558,15.36,1.0,356.0,1,1
iwp,sheet,2,20,1.0,0.7,0.712,0.288,0.139044,0.364048,1.9558,15.36,1.0,356.0,1,1
iwp,sheet,2,20,1.0,0.75,0.712,0.288,0.139044,0.364048,1.9558,15.36,1.0,356.0,1,1
iwp,sheet,2,20,1.0,0.8,0.856,0.144,0.014239,0.591029,1.4483,15.36,0.0017,428.0,1,1
iwp,sheet,2,20,1.0,0.85,0.856,0.144,0.014239,0.591029,1.4483,15.36,0.0017,428.0,1,1
