topology,mode,n_struts,n_layers,strut_d,porosity,relative_density,E_rel,D_eff_rel,tortuosity,specific_surface_per_mm,solid_connectivity,pore_connected,cg_converged
fdm_strut,aligned,3,10,0.1875,0.4922,0.5078,0.277624,0.307728,1.599,10.5,1.0,1,1
fdm_strut,aligned,3,10,0.2,0.4844,0.5156,0.269484,0.31031,1.561,10.4922,1.0,1,1
fdm_strut,staggered,3,10,0.125,0.6641,0.3359,0.048065,0.426357,1.558,11.1484,1.0,1,1
fdm_strut,staggered,3,10,0.1375,0.6406,0.3594,0.061289,0.407256,1.573,11.1875,1.0,1,1
fdm_strut,staggered,3,10,0.15,0.5938,0.4062,0.110207,0.381747,1.555,10.2812,1.0,1,1
fdm_strut,staggered,3,10,0.1625,0.5625,0.4375,0.11587,0.341842,1.645,11.2812,1.0,1,1
fdm_strut,staggered,3,10,0.175,0.5469,0.4531,0.146093,0.349905,1.563,10.3906,1.0,1,1
fdm_strut,staggered,3,10,0.1875,0.4922,0.5078,0.195425,0.281317,1.75,10.5,1.0,1,1
fdm_strut,staggered,3,10,0.2,0.4844,0.5156,0.225681,0.301308,1.608,10.4922,1.0,1,1
fdm_strut,aligned,3,12,0.1042,0.7188,0.2812,0.094041,0.54226,1.325,11.375,1.0,1,1
fdm_strut,aligned,3,12,0.1146,0.7031,0.2969,0.102008,0.536889,1.31,10.6094,1.0,1,1
fdm_strut,aligned,3,12,0.125,0.6641,0.3359,0.122258,0.47238,1.406,11.1484,1.0,1,1
fdm_strut,aligned,3,12,0.1354,0.6562,0.3438,0.132544,0.478476,1.372,10.5156,1.0,1,1
fdm_strut,aligned,3,12,0.1458,0.6055,0.3945,0.167611,0.411588,1.471,11.0781,1.0,1,1
fdm_strut,aligned,3,12,0.1562,0.5938,0.4062,0.187332,0.412368,1.44,10.2812,1.0,1,1
fdm_strut,aligned,3,12,0.1667,0.5312,0.4688,0.244948,0.34081,1.559,10.4453,1.0,1,1
fdm_strut,staggered,3,12,0.1042,0.7188,0.2812,0.02151,0.464819,1.546,11.375,1.0,1,1
fdm_strut,staggered,3,12,0.1146,0.7031,0.2969,0.030234,0.467786,1.503,10.6094,1.0,1,1
fdm_strut,staggered,3,12,0.125,0.6641,0.3359,0.048065,0.426357,1.558,11.1484,1.0,1,1
fdm_strut,staggered,3,12,0.1354,0.6562,0.3438,0.057255,0.438428,1.497,10.5156,1.0,1,1
fdm_strut,staggered,3,12,0.1458,0.6055,0.3945,0.074239,0.368029,1.645,11.0781,1.0,1,1
fdm_strut,staggered,3,12,0.1562,0.5938,0.4062,0.110207,0.381747,1.555,10.2812,1.0,1,1
fdm_strut,staggered,3,12,0.1667,0.5312,0.4688,0.155651,0.306974,1.731,10.4453,1.0,1,1
