sample_id,family,topology,mode,grid,n_cells,unit_cell_mm,strut_d,strut_spacing,n_struts,n_layers,stagger,target_porosity,porosity,relative_density,E_rel_z,E_rel_x,anisotropy_z_over_x,K_sc_z,K_sc_x,D_eff_z,D_eff_x,D_anisotropy_z_over_x,tortuosity_z,specific_surface_per_mm,pore_size_um,strut_thickness_um,solid_connectivity,pore_connected,cg_converged
SIM0237,FDM,fdm_strut,staggered,44,,0.3333333333333333,0.1328,0.1667,6.0,16.0,1.0,,0.3058,0.6942,0.442881,0.413262,1.0717,2.526,2.881,0.150203,0.177805,0.8448,2.0358,10.0992,128.6,257.1,1.0,1,1
SIM0238,FDM,fdm_strut,staggered,44,,0.4,0.1562,0.2,5.0,8.0,1.0,,0.314,0.686,0.426799,0.351179,1.2153,2.59,3.361,0.168453,0.146867,1.147,1.8643,8.3037,128.6,272.7,1.0,1,1
SIM0239,FDM,fdm_strut,staggered,44,,0.4,0.1568,0.2,5.0,10.0,1.0,,0.314,0.686,0.426799,0.351179,1.2153,2.59,3.361,0.168453,0.146867,1.147,1.8643,8.3037,128.6,272.7,1.0,1,1
SIM0240,FDM,fdm_strut,staggered,44,,0.4,0.1572,0.2,5.0,12.0,1.0,,0.314,0.686,0.426799,0.351179,1.2153,2.59,3.361,0.168453,0.146867,1.147,1.8643,8.3037,128.6,272.7,1.0,1,1
SIM0241,FDM,fdm_strut,staggered,44,,0.3333333333333333,0.1291,0.1667,6.0,14.0,1.0,,0.314,0.686,0.465293,0.387531,1.2007,2.447,3.187,0.148871,0.166894,0.892,2.1095,9.6198,128.6,203.3,1.0,1,1
SIM0242,FDM,fdm_strut,staggered,44,,0.6666666666666666,0.2557,0.3333,3.0,8.0,1.0,,0.3182,0.6818,0.416657,0.429851,0.9693,2.643,2.618,0.183452,0.214329,0.8559,1.7344,5.0826,203.3,406.6,1.0,1,1
SIM0243,FDM,fdm_strut,staggered,44,,0.5,0.196,0.25,4.0,8.0,1.0,,0.3182,0.6818,0.398045,0.36244,1.0982,2.703,3.047,0.179259,0.183256,0.9782,1.775,6.9008,181.8,327.8,1.0,1,1
SIM0244,FDM,fdm_strut,staggered,44,,0.5,0.1966,0.25,4.0,10.0,1.0,,0.3182,0.6818,0.398045,0.36244,1.0982,2.703,3.047,0.179259,0.183256,0.9782,1.775,6.9008,181.8,327.8,1.0,1,1
SIM0245,FDM,fdm_strut,staggered,44,,0.5,0.1886,0.25,4.0,10.0,1.0,,0.3223,0.6777,0.391075,0.401436,0.9742,2.782,2.903,0.171032,0.191582,0.8927,1.8845,7.062,181.8,327.8,1.0,1,1
SIM0246,FDM,fdm_strut,staggered,44,,0.3333333333333333,0.1278,0.1667,6.0,16.0,1.0,,0.3306,0.6694,0.446792,0.375207,1.1908,2.536,3.302,0.168388,0.189291,0.8896,1.9632,9.4545,128.6,203.3,1.0,1,1
SIM0247,FDM,fdm_strut,staggered,44,,0.5,0.1861,0.25,4.0,8.0,1.0,,0.3471,0.6529,0.360875,0.390654,0.9238,2.949,2.968,0.187241,0.20037,0.9345,1.8538,7.2438,181.8,287.5,1.0,1,1
SIM0248,FDM,fdm_strut,staggered,44,,0.4,0.1461,0.2,5.0,14.0,1.0,,0.3471,0.6529,0.396056,0.392884,1.0081,2.791,3.114,0.18057,0.206101,0.8761,1.9223,8.343,181.8,272.7,1.0,1,1
SIM0249,FDM,fdm_strut,staggered,44,,0.3333333333333333,0.125,0.1667,6.0,10.0,1.0,,0.3471,0.6529,0.397116,0.361601,1.0982,2.791,3.34,0.181243,0.197652,0.917,1.9152,9.8843,128.6,203.3,1.0,1,1
SIM0250,FDM,fdm_strut,staggered,44,,0.4,0.1506,0.2,5.0,12.0,1.0,,0.3512,0.6488,0.370031,0.328513,1.1264,2.932,3.524,0.191442,0.167779,1.141,1.8347,8.7025,128.6,257.1,1.0,1,1
