case,grid,porosity,relative_density,E_rel_z,E_rel_x,K_sc_z,D_eff_z,specific_surface_per_mm,pore_size_um,strut_thickness_um,family,topology,mode,n_cells,target_porosity,n_struts,n_layers,strut_d,stagger
TPMS|fischerKochS|sheet|c2|P0.40,32,0.3984,0.6016,0.400892,0.400892,2.83,0.055912,13.125,176.8,176.8,TPMS,fischerKochS,sheet,2.0,0.4,,,,
TPMS|fischerKochS|sheet|c2|P0.40,44,0.3997,0.6003,0.371137,0.371137,3.084,0.104879,12.8182,181.8,181.8,TPMS,fischerKochS,sheet,2.0,0.4,,,,
TPMS|fischerKochS|sheet|c2|P0.60,16,0.625,0.375,0.204844,0.204844,4.578,0.291626,9.75,250.0,250.0,TPMS,fischerKochS,sheet,2.0,0.6,,,,
TPMS|fischerKochS|sheet|c2|P0.60,20,0.608,0.392,0.196743,0.196743,4.707,0.274659,12.0,200.0,200.0,TPMS,fischerKochS,sheet,2.0,0.6,,,,
TPMS|fischerKochS|sheet|c2|P0.60,24,0.4074,0.5926,0.43565,0.43565,2.705,0.087929,11.75,166.7,235.7,TPMS,fischerKochS,sheet,2.0,0.6,,,,
TPMS|fischerKochS|sheet|c2|P0.60,32,0.6016,0.3984,0.180397,0.180397,5.924,0.260066,14.3438,176.8,125.0,TPMS,fischerKochS,sheet,2.0,0.6,,,,
TPMS|fischerKochS|sheet|c2|P0.60,44,0.6011,0.3989,0.189708,0.189708,5.564,0.243558,14.8264,181.8,128.6,TPMS,fischerKochS,sheet,2.0,0.6,,,,
TPMS|fischerKochS|sheet|c2|P0.75,16,0.8884,0.1116,0.0,0.0,2024.127,0.74567,4.2129,559.0,250.0,TPMS,fischerKochS,sheet,2.0,0.75,,,,
TPMS|fischerKochS|sheet|c2|P0.75,20,0.656,0.344,0.140457,0.140457,6.278,0.323047,11.28,200.0,200.0,TPMS,fischerKochS,sheet,2.0,0.75,,,,
TPMS|fischerKochS|sheet|c2|P0.75,24,0.7407,0.2593,0.078917,0.078917,9.498,0.39578,13.25,235.7,166.7,TPMS,fischerKochS,sheet,2.0,0.75,,,,
TPMS|fischerKochS|sheet|c2|P0.75,32,0.7422,0.2578,0.09317,0.09317,9.969,0.464204,13.9688,216.5,125.0,TPMS,fischerKochS,sheet,2.0,0.75,,,,
TPMS|fischerKochS|sheet|c2|P0.75,44,0.7498,0.2502,0.079737,0.079737,10.855,0.414371,15.719,203.3,90.9,TPMS,fischerKochS,sheet,2.0,0.75,,,,
TPMS|gyroid|network|c1|P0.40,16,0.3945,0.6055,0.317865,0.317865,3.947,0.188675,2.3906,750.0,1030.8,TPMS,gyroid,network,1.0,0.4,,,,
TPMS|gyroid|network|c1|P0.40,20,0.401,0.599,0.315621,0.315621,4.04,0.203335,2.25,748.3,1000.0,TPMS,gyroid,network,1.0,0.4,,,,
TPMS|gyroid|network|c1|P0.40,24,0.3993,0.6007,0.320505,0.320505,3.963,0.204707,2.3021,763.8,971.8,TPMS,gyroid,network,1.0,0.4,,,,
TPMS|gyroid|network|c1|P0.40,32,0.3999,0.6001,0.317092,0.317092,4.026,0.209328,2.332,718.1,960.1,TPMS,gyroid,network,1.0,0.4,,,,
TPMS|gyroid|network|c1|P0.40,44,0.4006,0.5994,0.31794,0.31794,4.023,0.216558,2.3182,710.0,944.8,TPMS,gyroid,network,1.0,0.4,,,,
TPMS|gyroid|network|c1|P0.60,16,0.6055,0.3945,0.132861,0.132861,8.763,0.378053,2.3906,1030.8,750.0,TPMS,gyroid,network,1.0,0.6,,,,
TPMS|gyroid|network|c1|P0.60,20,0.599,0.401,0.139288,0.139288,8.669,0.388676,2.25,1000.0,748.3,TPMS,gyroid,network,1.0,0.6,,,,
TPMS|gyroid|network|c1|P0.60,24,0.6007,0.3993,0.134653,0.134653,8.901,0.391998,2.3021,971.8,763.8,TPMS,gyroid,network,1.0,0.6,,,,
TPMS|gyroid|network|c1|P0.60,32,0.6001,0.3999,0.135285,0.135285,8.854,0.400109,2.332,960.1,718.1,TPMS,gyroid,network,1.0,0.6,,,,
TPMS|gyroid|network|c1|P0.60,44,0.5994,0.4006,0.135408,0.135408,8.884,0.405064,2.3182,944.8,710.0,TPMS,gyroid,network,1.0,0.6,,,,
TPMS|gyroid|network|c1|P0.75,16,0.75,0.25,0.041234,0.041234,19.526,0.571525,2.0391,1224.7,559.0,TPMS,gyroid,network,1.0,0.75,,,,
TPMS|gyroid|network|c1|P0.75,20,0.751,0.249,0.04439,0.04439,18.409,0.578369,2.085,1177.3,565.7,TPMS,gyroid,network,1.0,0.75,,,,
TPMS|gyroid|network|c1|P0.75,24,0.7477,0.2523,0.04794,0.04794,18.526,0.581904,2.0312,1166.7,552.8,TPMS,gyroid,network,1.0,0.75,,,,
TPMS|gyroid|network|c1|P0.75,32,0.748,0.252,0.044219,0.044219,19.152,0.591974,2.0332,1159.2,530.3,TPMS,gyroid,network,1.0,0.75,,,,
TPMS|gyroid|network|c1|P0.75,44,0.7497,0.2503,0.045372,0.045372,19.144,0.59225,2.1136,1131.8,522.2,TPMS,gyroid,network,1.0,0.75,,,,
TPMS|gyroid|network|c2|P0.40,16,0.3125,0.6875,0.403072,0.403072,2.991,0.083156,4.875,353.6,559.0,TPMS,gyroid,network,2.0,0.4,,,,
TPMS|gyroid|network|c2|P0.40,20,0.376,0.624,0.338822,0.338822,3.757,0.166322,4.56,346.4,565.7,TPMS,gyroid,network,2.0,0.4,,,,
TPMS|gyroid|network|c2|P0.40,24,0.3889,0.6111,0.323973,0.323973,3.939,0.186458,4.5,408.2,500.0,TPMS,gyroid,network,2.0,0.4,,,,
TPMS|gyroid|network|c2|P0.40,32,0.3945,0.6055,0.308093,0.308093,4.058,0.195434,4.9219,375.0,515.4,TPMS,gyroid,network,2.0,0.4,,,,
TPMS|gyroid|network|c2|P0.40,44,0.4005,0.5995,0.314357,0.314357,4.072,0.227664,4.6364,374.8,463.5,TPMS,gyroid,network,2.0,0.4,,,,
TPMS|gyroid|network|c2|P0.60,16,0.6875,0.3125,0.087003,0.087003,10.279,0.390592,4.875,559.0,353.6,TPMS,gyroid,network,2.0,0.6,,,,
TPMS|gyroid|network|c2|P0.60,20,0.624,0.376,0.112588,0.112588,9.678,0.394123,4.56,565.7,346.4,TPMS,gyroid,network,2.0,0.6,,,,
TPMS|gyroid|network|c2|P0.60,24,0.6111,0.3889,0.127168,0.127168,9.211,0.394431,4.5,500.0,408.2,TPMS,gyroid,network,2.0,0.6,,,,
TPMS|gyroid|network|c2|P0.60,32,0.6055,0.3945,0.129546,0.129546,8.784,0.386413,4.9219,515.4,375.0,TPMS,gyroid,network,2.0,0.6,,,,
TPMS|gyroid|network|c2|P0.60,44,0.5995,0.4005,0.129886,0.129886,8.638,0.407446,4.6364,463.5,374.8,TPMS,gyroid,network,2.0,0.6,,,,
TPMS|gyroid|network|c2|P0.75,16,0.7812,0.2188,0.022895,0.022895,22.605,0.591908,3.4688,612.4,353.6,TPMS,gyroid,network,2.0,0.75,,,,
TPMS|gyroid|network|c2|P0.75,20,0.768,0.232,0.027527,0.027527,22.721,0.575473,3.78,600.0,282.8,TPMS,gyroid,network,2.0,0.75,,,,
TPMS|gyroid|network|c2|P0.75,24,0.7222,0.2778,0.056586,0.056586,15.811,0.504751,4.375,552.8,372.7,TPMS,gyroid,network,2.0,0.75,,,,
TPMS|gyroid|network|c2|P0.75,32,0.75,0.25,0.042672,0.042672,19.465,0.560083,4.2891,586.3,279.5,TPMS,gyroid,network,2.0,0.75,,,,
TPMS|gyroid|network|c2|P0.75,44,0.7513,0.2487,0.043568,0.043568,18.909,0.582749,4.1901,575.0,272.7,TPMS,gyroid,network,2.0,0.75,,,,
TPMS|gyroid|sheet|c1|P0.40,16,0.4297,0.5703,0.286635,0.286635,3.829,0.090649,3.5156,559.0,500.0,TPMS,gyroid,sheet,1.0,0.4,,,,
TPMS|gyroid|sheet|c1|P0.40,20,0.39,0.61,0.323975,0.323975,3.528,0.084473,3.36,489.9,489.9,TPMS,gyroid,sheet,1.0,0.4,,,,
TPMS|gyroid|sheet|c1|P0.40,24,0.4005,0.5995,0.303371,0.303371,3.752,0.08911,3.7292,500.0,471.4,TPMS,gyroid,sheet,1.0,0.4,,,,
TPMS|gyroid|sheet|c1|P0.40,32,0.4004,0.5996,0.303018,0.303018,3.74,0.08833,3.75,467.7,450.7,TPMS,gyroid,sheet,1.0,0.4,,,,
TPMS|gyroid|sheet|c1|P0.40,44,0.3991,0.6009,0.301905,0.301905,3.744,0.146966,3.8244,463.5,445.4,TPMS,gyroid,sheet,1.0,0.4,,,,
TPMS|gyroid|sheet|c1|P0.60,16,0.625,0.375,0.133532,0.133532,7.22,0.244172,4.0312,707.1,353.6,TPMS,gyroid,sheet,1.0,0.6,,,,
TPMS|gyroid|sheet|c1|P0.60,20,0.6,0.4,0.151037,0.151037,6.706,0.236426,4.14,632.5,346.4,TPMS,gyroid,sheet,1.0,0.6,,,,
TPMS|gyroid|sheet|c1|P0.60,24,0.6157,0.3843,0.138857,0.138857,7.251,0.241807,4.2917,623.6,333.3,TPMS,gyroid,sheet,1.0,0.6,,,,
TPMS|gyroid|sheet|c1|P0.60,32,0.6006,0.3994,0.143853,0.143853,7.066,0.252538,4.3125,586.3,279.5,TPMS,gyroid,sheet,1.0,0.6,,,,
TPMS|gyroid|sheet|c1|P0.60,44,0.5995,0.4005,0.146109,0.146109,6.978,0.252286,4.407,582.1,272.7,TPMS,gyroid,sheet,1.0,0.6,,,,
TPMS|gyroid|sheet|c1|P0.75,16,0.7422,0.2578,0.07683,0.07683,11.889,0.330939,4.4531,750.0,250.0,TPMS,gyroid,sheet,1.0,0.75,,,,
TPMS|gyroid|sheet|c1|P0.75,20,0.742,0.258,0.069652,0.069652,12.107,0.344039,4.71,721.1,200.0,TPMS,gyroid,sheet,1.0,0.75,,,,
TPMS|gyroid|sheet|c1|P0.75,24,0.7569,0.2431,0.065123,0.065123,13.885,0.358851,4.4792,707.1,235.7,TPMS,gyroid,sheet,1.0,0.75,,,,
TPMS|gyroid|sheet|c1|P0.75,32,0.75,0.25,0.066019,0.066019,13.651,0.385814,4.582,673.1,176.8,TPMS,gyroid,sheet,1.0,0.75,,,,
TPMS|gyroid|sheet|c1|P0.75,44,0.75,0.25,0.066775,0.066775,13.648,0.397598,4.6612,668.0,203.3,TPMS,gyroid,sheet,1.0,0.75,,,,
TPMS|gyroid|sheet|c2|P0.40,16,0.4375,0.5625,0.328435,0.328435,3.184,0.108096,6.9375,353.6,250.0,TPMS,gyroid,sheet,2.0,0.4,,,,
TPMS|gyroid|sheet|c2|P0.40,20,0.4,0.6,0.317152,0.317152,3.445,0.101342,7.68,282.8,282.8,TPMS,gyroid,sheet,2.0,0.4,,,,
TPMS|gyroid|sheet|c2|P0.40,24,0.3704,0.6296,0.351734,0.351734,3.177,0.100545,7.5833,288.7,288.7,TPMS,gyroid,sheet,2.0,0.4,,,,
TPMS|gyroid|sheet|c2|P0.40,32,0.4297,0.5703,0.296099,0.296099,3.699,0.128719,7.4531,279.5,250.0,TPMS,gyroid,sheet,2.0,0.4,,,,
TPMS|gyroid|sheet|c2|P0.40,44,0.4012,0.5988,0.312511,0.312511,3.616,0.129273,7.6612,257.1,222.7,TPMS,gyroid,sheet,2.0,0.4,,,,
TPMS|gyroid|sheet|c2|P0.60,16,0.625,0.375,0.139897,0.139897,6.985,0.175783,9.75,353.6,250.0,TPMS,gyroid,sheet,2.0,0.6,,,,
TPMS|gyroid|sheet|c2|P0.60,20,0.608,0.392,0.156384,0.156384,6.23,0.257412,8.28,346.4,200.0,TPMS,gyroid,sheet,2.0,0.6,,,,
TPMS|gyroid|sheet|c2|P0.60,24,0.6667,0.3333,0.123115,0.123115,8.086,0.273455,9.0,372.7,166.7,TPMS,gyroid,sheet,2.0,0.6,,,,
TPMS|gyroid|sheet|c2|P0.60,32,0.6212,0.3788,0.145043,0.145034,6.596,0.281726,8.3511,306.2,176.8,TPMS,gyroid,sheet,2.0,0.6,,,,
TPMS|gyroid|sheet|c2|P0.60,44,0.6011,0.3989,0.154639,0.154639,6.485,0.289626,8.6033,314.9,181.8,TPMS,gyroid,sheet,2.0,0.6,,,,
TPMS|gyroid|sheet|c2|P0.75,16,0.9248,0.0752,0.0,0.0,3856.699,0.813317,3.0039,829.2,250.0,TPMS,gyroid,sheet,2.0,0.75,,,,
TPMS|gyroid|sheet|c2|P0.75,20,0.656,0.344,0.129512,0.129512,7.18,0.278267,8.28,346.4,200.0,TPMS,gyroid,sheet,2.0,0.75,,,,
TPMS|gyroid|sheet|c2|P0.75,24,0.7222,0.2778,0.084658,0.084658,11.242,0.338582,9.0833,408.2,166.7,TPMS,gyroid,sheet,2.0,0.75,,,,
TPMS|gyroid|sheet|c2|P0.75,32,0.7422,0.2578,0.085368,0.085368,10.765,0.357817,9.1406,375.0,125.0,TPMS,gyroid,sheet,2.0,0.75,,,,
TPMS|gyroid|sheet|c2|P0.75,44,0.7558,0.2442,0.075273,0.075273,12.173,0.387145,9.2479,340.2,128.6,TPMS,gyroid,sheet,2.0,0.75,,,,
TPMS|iwp|network|c1|P0.40,16,0.3789,0.6211,0.40055,0.40055,2.895,0.179605,2.625,750.0,829.2,TPMS,iwp,network,1.0,0.4,,,,
TPMS|iwp|network|c1|P0.40,20,0.394,0.606,0.364333,0.364333,3.221,0.201603,2.82,632.5,824.6,TPMS,iwp,network,1.0,0.4,,,,
TPMS|iwp|network|c1|P0.40,24,0.3958,0.6042,0.37699,0.37699,3.229,0.206158,2.5,666.7,833.3,TPMS,iwp,network,1.0,0.4,,,,
TPMS|iwp|network|c1|P0.40,32,0.4009,0.5991,0.374427,0.374427,3.209,0.221787,2.4375,625.0,800.4,TPMS,iwp,network,1.0,0.4,,,,
TPMS|iwp|network|c1|P0.40,44,0.3988,0.6012,0.377072,0.377072,3.148,0.224988,2.5165,636.4,782.0,TPMS,iwp,network,1.0,0.4,,,,
TPMS|iwp|network|c1|P0.60,16,0.6016,0.3984,0.188057,0.188057,6.03,0.394955,2.7188,1000.0,612.4,TPMS,iwp,network,1.0,0.6,,,,
TPMS|iwp|network|c1|P0.60,20,0.598,0.402,0.204212,0.204212,6.036,0.400695,2.52,800.0,600.0,TPMS,iwp,network,1.0,0.6,,,,
TPMS|iwp|network|c1|P0.60,24,0.6007,0.3993,0.205916,0.205916,5.658,0.403823,2.625,833.3,623.6,TPMS,iwp,network,1.0,0.6,,,,
TPMS|iwp|network|c1|P0.60,32,0.5986,0.4014,0.207657,0.207657,5.713,0.411139,2.4844,875.0,612.4,TPMS,iwp,network,1.0,0.6,,,,
TPMS|iwp|network|c1|P0.60,44,0.5988,0.4012,0.209298,0.209298,5.674,0.415016,2.5165,782.0,603.0,TPMS,iwp,network,1.0,0.6,,,,
TPMS|iwp|network|c1|P0.75,16,0.7656,0.2344,0.109097,0.109097,10.917,0.596751,2.0625,1030.8,436.4,TPMS,iwp,network,1.0,0.75,,,,
TPMS|iwp|network|c1|P0.75,20,0.748,0.252,0.109166,0.109166,11.575,0.583107,2.22,1000.0,489.9,TPMS,iwp,network,1.0,0.75,,,,
TPMS|iwp|network|c1|P0.75,24,0.7535,0.2465,0.097773,0.097773,11.615,0.605186,2.4167,957.4,500.0,TPMS,iwp,network,1.0,0.75,,,,
TPMS|iwp|network|c1|P0.75,32,0.748,0.252,0.103256,0.103256,11.223,0.59519,2.3672,918.6,500.0,TPMS,iwp,network,1.0,0.75,,,,
TPMS|iwp|network|c1|P0.75,44,0.7504,0.2496,0.107702,0.107702,10.942,0.602648,2.343,913.6,472.4,TPMS,iwp,network,1.0,0.75,,,,
TPMS|iwp|network|c2|P0.40,16,0.5312,0.4688,0.210933,0.210933,4.993,0.289547,6.0,500.0,353.6,TPMS,iwp,network,2.0,0.4,,,,
TPMS|iwp|network|c2|P0.40,20,0.424,0.576,0.380032,0.380032,2.996,0.153063,3.84,400.0,400.0,TPMS,iwp,network,2.0,0.4,,,,
TPMS|iwp|network|c2|P0.40,24,0.3889,0.6111,0.404545,0.404545,3.142,0.173928,5.0,372.7,372.7,TPMS,iwp,network,2.0,0.4,,,,
TPMS|iwp|network|c2|P0.40,32,0.3789,0.6211,0.403097,0.403097,2.871,0.181497,5.25,375.0,414.6,TPMS,iwp,network,2.0,0.4,,,,
TPMS|iwp|network|c2|P0.40,44,0.4005,0.5995,0.382626,0.382626,3.118,0.211531,4.6612,363.6,396.3,TPMS,iwp,network,2.0,0.4,,,,
TPMS|iwp|network|c2|P0.60,16,0.7188,0.2812,0.143792,0.143792,7.686,0.499654,3.75,559.0,250.0,TPMS,iwp,network,2.0,0.6,,,,
TPMS|iwp|network|c2|P0.60,20,0.616,0.384,0.145316,0.145316,6.762,0.411483,5.76,447.2,346.4,TPMS,iwp,network,2.0,0.6,,,,
TPMS|iwp|network|c2|P0.60,24,0.6111,0.3889,0.20711,0.20711,5.914,0.392532,4.6667,500.0,333.3,TPMS,iwp,network,2.0,0.6,,,,
TPMS|iwp|network|c2|P0.60,32,0.6016,0.3984,0.190874,0.190874,5.637,0.39817,5.4375,500.0,306.2,TPMS,iwp,network,2.0,0.6,,,,
TPMS|iwp|network|c2|P0.60,44,0.5988,0.4012,0.200835,0.200835,5.445,0.402527,5.3554,454.5,301.5,TPMS,iwp,network,2.0,0.6,,,,
TPMS|iwp|network|c2|P0.75,16,0.9062,0.0938,0.0,0.0,16.671,0.826891,2.25,612.4,250.0,TPMS,iwp,network,2.0,0.75,,,,
TPMS|iwp|network|c2|P0.75,20,0.808,0.192,0.089304,0.089304,12.415,0.6428,3.36,600.0,200.0,TPMS,iwp,network,2.0,0.75,,,,
TPMS|iwp|network|c2|P0.75,24,0.75,0.25,0.088695,0.088695,16.224,0.586156,4.6667,500.0,288.7,TPMS,iwp,network,2.0,0.75,,,,
TPMS|iwp|network|c2|P0.75,32,0.7656,0.2344,0.109815,0.109815,10.937,0.595362,4.125,515.4,218.2,TPMS,iwp,network,2.0,0.75,,,,
TPMS|iwp|network|c2|P0.75,44,0.7566,0.2434,0.103376,0.103376,11.102,0.602301,4.4628,545.5,272.7,TPMS,iwp,network,2.0,0.75,,,,
TPMS|iwp|sheet|c1|P0.40,16,0.4023,0.5977,0.398902,0.398902,2.923,0.122494,4.4062,500.0,433.0,TPMS,iwp,sheet,1.0,0.4,,,,
TPMS|iwp|sheet|c1|P0.40,20,0.4,0.6,0.385366,0.385366,3.154,0.14751,4.26,489.9,447.2,TPMS,iwp,sheet,1.0,0.4,,,,
TPMS|iwp|sheet|c1|P0.40,24,0.3993,0.6007,0.400458,0.400458,2.911,0.133615,4.1667,500.0,372.7,TPMS,iwp,sheet,1.0,0.4,,,,
TPMS|iwp|sheet|c1|P0.40,32,0.4009,0.5991,0.390344,0.390344,3.124,0.15263,4.2891,467.7,375.0,TPMS,iwp,sheet,1.0,0.4,,,,
TPMS|iwp|sheet|c1|P0.40,44,0.401,0.599,0.390649,0.390649,3.089,0.161506,4.2893,454.5,374.8,TPMS,iwp,sheet,1.0,0.4,,,,
TPMS|iwp|sheet|c1|P0.60,16,0.6133,0.3867,0.195555,0.195555,5.277,0.265052,4.7812,750.0,353.6,TPMS,iwp,sheet,1.0,0.6,,,,
TPMS|iwp|sheet|c1|P0.60,20,0.604,0.396,0.207504,0.207504,5.228,0.263145,4.56,600.0,282.8,TPMS,iwp,sheet,1.0,0.6,,,,
TPMS|iwp|sheet|c1|P0.60,24,0.6076,0.3924,0.197356,0.197356,5.405,0.273791,4.75,666.7,333.3,TPMS,iwp,sheet,1.0,0.6,,,,
TPMS|iwp|sheet|c1|P0.60,32,0.6016,0.3984,0.201019,0.201019,5.47,0.289459,4.7812,530.3,279.5,TPMS,iwp,sheet,1.0,0.6,,,,
TPMS|iwp|sheet|c1|P0.60,44,0.6005,0.3995,0.202375,0.202375,5.621,0.298523,4.6983,545.5,257.1,TPMS,iwp,sheet,1.0,0.6,,,,
TPMS|iwp|sheet|c1|P0.75,16,0.7305,0.2695,0.10657,0.10657,8.405,0.345521,4.9688,612.4,250.0,TPMS,iwp,sheet,1.0,0.75,,,,
TPMS|iwp|sheet|c1|P0.75,20,0.748,0.252,0.091024,0.091024,9.534,0.366751,5.34,600.0,200.0,TPMS,iwp,sheet,1.0,0.75,,,,
TPMS|iwp|sheet|c1|P0.75,24,0.7535,0.2465,0.097744,0.097744,9.999,0.369083,4.9167,666.7,235.7,TPMS,iwp,sheet,1.0,0.75,,,,
TPMS|iwp|sheet|c1|P0.75,32,0.7495,0.2505,0.092588,0.092588,9.848,0.392417,5.0156,625.0,176.8,TPMS,iwp,sheet,1.0,0.75,,,,
TPMS|iwp|sheet|c1|P0.75,44,0.7515,0.2485,0.094719,0.094719,10.384,0.403069,5.0207,603.0,181.8,TPMS,iwp,sheet,1.0,0.75,,,,
TPMS|iwp|sheet|c2|P0.40,16,0.1562,0.8438,0.778416,0.778416,1.369,0.0,4.5,250.0,353.6,TPMS,iwp,sheet,2.0,0.4,,,,
TPMS|iwp|sheet|c2|P0.40,20,0.424,0.576,0.397027,0.397027,2.781,0.15363,7.68,282.8,200.0,TPMS,iwp,sheet,2.0,0.4,,,,
TPMS|iwp|sheet|c2|P0.40,24,0.4167,0.5833,0.377239,0.377239,3.2,0.131667,8.6667,235.7,235.7,TPMS,iwp,sheet,2.0,0.4,,,,
TPMS|iwp|sheet|c2|P0.40,32,0.4023,0.5977,0.400751,0.400751,2.93,0.131335,8.8125,250.0,216.5,TPMS,iwp,sheet,2.0,0.4,,,,
TPMS|iwp|sheet|c2|P0.40,44,0.4005,0.5995,0.398054,0.398054,3.094,0.147755,8.3306,222.7,203.3,TPMS,iwp,sheet,2.0,0.4,,,,
TPMS|iwp|sheet|c2|P0.60,16,0.625,0.375,0.224522,0.224522,3.988,0.251257,8.25,360.9,250.0,TPMS,iwp,sheet,2.0,0.6,,,,
TPMS|iwp|sheet|c2|P0.60,20,0.52,0.48,0.294655,0.294655,3.428,0.173758,9.12,282.8,200.0,TPMS,iwp,sheet,2.0,0.6,,,,
TPMS|iwp|sheet|c2|P0.60,24,0.5833,0.4167,0.21958,0.21958,5.094,0.207817,9.6667,333.3,235.7,TPMS,iwp,sheet,2.0,0.6,,,,
TPMS|iwp|sheet|c2|P0.60,32,0.6133,0.3867,0.197892,0.197892,5.173,0.270652,9.5625,375.0,176.8,TPMS,iwp,sheet,2.0,0.6,,,,
TPMS|iwp|sheet|c2|P0.60,44,0.5988,0.4012,0.199637,0.199637,5.485,0.281634,9.719,272.7,128.6,TPMS,iwp,sheet,2.0,0.6,,,,
TPMS|iwp|sheet|c2|P0.75,16,0.625,0.375,0.224522,0.224522,3.988,0.251257,8.25,360.9,250.0,TPMS,iwp,sheet,2.0,0.75,,,,
TPMS|iwp|sheet|c2|P0.75,20,0.712,0.288,0.139043,0.139043,8.472,0.364048,7.68,447.2,200.0,TPMS,iwp,sheet,2.0,0.75,,,,
TPMS|iwp|sheet|c2|P0.75,24,0.75,0.25,0.094161,0.094161,8.131,0.366955,9.6667,333.3,166.7,TPMS,iwp,sheet,2.0,0.75,,,,
TPMS|iwp|sheet|c2|P0.75,32,0.7305,0.2695,0.10924,0.10924,8.285,0.350372,9.9375,306.2,125.0,TPMS,iwp,sheet,2.0,0.75,,,,
TPMS|iwp|sheet|c2|P0.75,44,0.7517,0.2483,0.101279,0.101291,9.016,0.387067,9.6198,363.6,90.9,TPMS,iwp,sheet,2.0,0.75,,,,
TPMS|lidinoid|network|c1|P0.40,16,0.4062,0.5938,0.248295,0.248295,4.487,0.144432,3.9844,433.0,500.0,TPMS,lidinoid,network,1.0,0.4,,,,
TPMS|lidinoid|network|c1|P0.40,20,0.392,0.608,0.259107,0.259107,4.272,0.133028,4.02,447.2,489.9,TPMS,lidinoid,network,1.0,0.4,,,,
TPMS|lidinoid|network|c1|P0.40,24,0.3912,0.6088,0.263849,0.263849,4.188,0.126743,4.1042,372.7,500.0,TPMS,lidinoid,network,1.0,0.4,,,,
TPMS|lidinoid|network|c1|P0.40,32,0.3994,0.6006,0.246155,0.246155,4.563,0.145367,4.2305,375.0,450.7,TPMS,lidinoid,network,1.0,0.4,,,,
TPMS|lidinoid|network|c1|P0.40,44,0.3995,0.6005,0.239903,0.239903,4.683,0.17309,4.2583,374.8,445.4,TPMS,lidinoid,network,1.0,0.4,,,,
TPMS|lidinoid|network|c1|P0.60,16,0.6172,0.3828,0.054728,0.054728,12.332,0.356956,4.5,559.0,433.0,TPMS,lidinoid,network,1.0,0.6,,,,
TPMS|lidinoid|network|c1|P0.60,20,0.6,0.4,0.082458,0.082458,10.481,0.333357,4.53,489.9,400.0,TPMS,lidinoid,network,1.0,0.6,,,,
TPMS|lidinoid|network|c1|P0.60,24,0.5995,0.4005,0.074222,0.074222,10.845,0.345626,4.7708,471.4,408.2,TPMS,lidinoid,network,1.0,0.6,,,,
TPMS|lidinoid|network|c1|P0.60,32,0.5996,0.4004,0.068749,0.068749,11.753,0.365905,4.6406,450.7,375.0,TPMS,lidinoid,network,1.0,0.6,,,,
TPMS|lidinoid|network|c1|P0.60,44,0.5994,0.4006,0.067694,0.067694,12.215,0.376284,4.7541,426.4,374.8,TPMS,lidinoid,network,1.0,0.6,,,,
TPMS|lidinoid|network|c1|P0.75,16,0.7578,0.2422,0.006291,0.006291,46.358,0.586901,3.6562,559.0,433.0,TPMS,lidinoid,network,1.0,0.75,,,,
TPMS|lidinoid|network|c1|P0.75,20,0.756,0.244,0.007745,0.007745,41.581,0.581403,3.75,489.9,400.0,TPMS,lidinoid,network,1.0,0.75,,,,
TPMS|lidinoid|network|c1|P0.75,24,0.7523,0.2477,0.002152,0.002152,48.691,0.609351,3.8958,500.0,372.7,TPMS,lidinoid,network,1.0,0.75,,,,
TPMS|lidinoid|network|c1|P0.75,32,0.749,0.251,0.002042,0.002042,42.232,0.604851,3.7969,515.4,353.6,TPMS,lidinoid,network,1.0,0.75,,,,
TPMS|lidinoid|network|c1|P0.75,44,0.7509,0.2491,0.0,0.0,105302.952,0.618876,3.8492,489.6,340.2,TPMS,lidinoid,network,1.0,0.75,,,,
TPMS|lidinoid|network|c2|P0.40,16,0.375,0.625,0.421077,0.421077,2.789,0.074859,7.125,250.0,250.0,TPMS,lidinoid,network,2.0,0.4,,,,
TPMS|lidinoid|network|c2|P0.40,20,0.448,0.552,0.215046,0.215046,4.52,0.172447,8.4,282.8,282.8,TPMS,lidinoid,network,2.0,0.4,,,,
TPMS|lidinoid|network|c2|P0.40,24,0.3704,0.6296,0.262386,0.262386,4.073,0.103501,8.9167,235.7,288.7,TPMS,lidinoid,network,2.0,0.4,,,,
TPMS|lidinoid|network|c2|P0.40,32,0.4062,0.5938,0.245775,0.245775,4.491,0.16794,8.1094,216.5,250.0,TPMS,lidinoid,network,2.0,0.4,,,,
TPMS|lidinoid|network|c2|P0.40,44,0.3997,0.6003,0.251356,0.251356,4.343,0.164742,8.4298,203.3,222.7,TPMS,lidinoid,network,2.0,0.4,,,,
TPMS|lidinoid|network|c2|P0.60,16,0.5625,0.4375,0.195551,0.195551,4.747,0.148383,9.9375,250.0,250.0,TPMS,lidinoid,network,2.0,0.6,,,,
TPMS|lidinoid|network|c2|P0.60,20,0.592,0.408,0.104373,0.104373,7.554,0.31019,8.88,282.8,200.0,TPMS,lidinoid,network,2.0,0.6,,,,
TPMS|lidinoid|network|c2|P0.60,24,0.5648,0.4352,0.145533,0.145533,7.332,0.249693,8.5,288.7,235.7,TPMS,lidinoid,network,2.0,0.6,,,,
TPMS|lidinoid|network|c2|P0.60,32,0.6172,0.3828,0.04878,0.04878,12.225,0.369234,9.1875,250.0,216.5,TPMS,lidinoid,network,2.0,0.6,,,,
