Reference,DOI,Alginate (%w/v),PVA-HA (%w/v),CaSO4 (%w/v),Na2HPO4 (%w/v),Gelatin (%w/v),GelMA (%w/v),laponite (%w/v),graphene oxide (%w/v),hydroxyapatite (%w/v),Hyaluronic_Acid (%w/v),MeHA (%w/v),NorHA (%w/v),Fibroin/Fibrinogen (%w/v),Pluronic P-123 (%w/v),Collagen (%w/v),Chitosan (%w/v),CS-AEMA (%w/v),RGD (mM),TCP (%w/v),Gellan (%w/v),bioactive glass (%w/v),Nano/Methycellulose (%w/v),PEGTA (%w/v),PEGMA (%w/v),PEGDA (%w/v),Agarose (%w/v), hyaluronic acid+ Ph moieties (%w/v),matrigel (%w/v),CaCl2(mM),NaCl(mM),BaCl2(mM),SrCl2(mM),CaCO3 (mM),Genipin (%w/v),PVA (%wt),trans-glutaminase (%w/v),alginate lyase (U/ml),D-glucose (%w/v),PLGA (%w/v),vascular tissued-derived dECM (%w/v),PEG-8-SH (mM),Lutrol F127 (%w/v),Alginate dialdehyde (%w/v),Alginate sulfate (%w/v),RGD-modified alginate (%w/v),hyaluronan metacrylate (%w/v),poly(N-isopropylacrylamide) grafted hyaluronan (%w/v),chondroitin sulfate methacrylate (%w/v),PCL (%w/v),alginate metacrylate (%w/v),HRP (U/ml),pluronic F127 (%w/v),Irgacure 2959 (%w/v),Eosin Y (%w/v),Ruthenium (mM),sodium persulfate (SPS) (mM),HEPES (mM),LAP (%w/v),glutaraldehyde (%w/v),PBS  (M),Cell_Density_(cells/mL),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Nozzle_Diameter_(µm),chamber Temperature  (°C),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Printability,Cell Response,Scaffold Quality (P*C),total_solids_pct,n_components,ceramic_pct,ceramic_fraction,is_bone_relevant,has_cells
Yin et al. 2018,10.1021/acsami.7b16059,0.0,0.0,0.0,0.0,8.0,5.0,0.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.0,5000000.0,0.0,120,300.0,,,5.0,260.0,,20.0,15.0,3,5,15,14.0,4,0.0,0.0,1,1
Yin et al. 2018,10.1021/acsami.7b16059,0.0,0.0,0.0,0.0,0.0,30.0,0.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.0,5000000.0,0.0,120,300.0,,,5.0,260.0,,20.0,15.0,3,2,6,31.0,3,0.0,0.0,1,1
Yin et al. 2018,10.1021/acsami.7b16059,0.0,0.0,0.0,0.0,0.0,30.0,0.5,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.5,0.0,0.0,5000000.0,0.0,120,300.0,,,5.0,260.0,,20.0,15.0,3,4,12,31.0,3,0.0,0.0,1,1
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,180.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30000000.0,900.0,0,,,,,1200.0,,,37.0,3,3,9,6.0,4,2.0,0.3333333333333333,1,1
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,180.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30000000.0,900.0,0,,,,,1200.0,,,37.0,3,5,15,6.0,4,2.0,0.3333333333333333,1,1
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30000000.0,900.0,0,,,,,1200.0,,,37.0,3,3,9,2.0,1,0.0,0.0,1,1
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30000000.0,900.0,0,,,,,1200.0,,,37.0,3,5,15,2.0,1,0.0,0.0,1,1
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,0.0,0,0.0,2,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30000000.0,900.0,0,,,,,1200.0,,,37.0,3,3,9,4.0,2,2.0,0.5,1,1
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0,0.0,0,0.0,2,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,30000000.0,900.0,0,,,,,1200.0,,,37.0,3,5,15,4.0,2,2.0,0.5,1,1
Das et al. 2015,10.1016/j.actbio.2014.09.023,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,0,8.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,100.0,145.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3500000.0,10.0,0,225.0,1.0,,,250.0,,28.0,18.0,3,5,15,23.0,4,0.0,0.0,1,1
